Year,City,Population
2010,Abilene (TX),117063
2010,Akron (OH),199110
2010,Albuquerque (NM),545852
2010,Alexandria (VA),139966
2010,Allentown (PA),118032
2010,Amarillo (TX),190695
2010,Anaheim (CA),336265
2010,Anchorage (AK),291826
2010,Ann Arbor (MI),113934
2010,Antioch (CA),102372
2010,Arlington (TX),365438
2010,Arlington (VA),207627
2010,Arvada (CO),106433
2010,Athens (GA),115452
2010,Atlanta (GA),420003
2010,Augusta (GA),195844
2010,Aurora (CO),325078
2010,Aurora (IL),197899
2010,Austin (TX),790390
